,log_name,fitness_perc_fit_traces,fitness_avg_trace_fitness,fitness_log_fitness,fitness_perc_fitting_traces,precision,generalization,simplicity,metricsAverageWeight,fscore
0,0,100.0,1.0,1.0,100.0,0.15267051459230951,0.623343515051908,0.46153846153846156,0.5593881227956697,0.26489879399111355
1,1,100.0,1.0,1.0,100.0,0.23574368018812464,0.6042313200114802,0.6038647342995168,0.6109599336247804,0.3815413891531874
2,2,100.0,1.0,1.0,100.0,0.2804240487946559,0.781487775517086,0.5280898876404494,0.6475004279880479,0.4380174662583646
3,3,100.0,1.0,1.0,100.0,0.6119186046511628,0.7504825278866853,0.6533333333333333,0.7539336164677953,0.7592425608656448
4,4,100.0,1.0,1.0,100.0,0.12726530005941772,0.703496815390065,0.5308641975308642,0.5904065782450868,0.22579476198319884
5,5,100.0,1.0,1.0,100.0,0.9272727272727272,0.8145772550783814,0.6666666666666666,0.8521291622544438,0.9622641509433962
6,6,100.0,1.0,1.0,100.0,0.38675651919132725,0.7183558436016709,0.6000000000000001,0.6762780906982496,0.5577857595605323
7,7,100.0,1.0,1.0,100.0,0.12373102824404458,0.7374857534210884,0.5636363636363636,0.6062132863253742,0.22021466905187825
8,8,100.0,1.0,1.0,100.0,0.4477396021699819,0.7944023414501538,0.6000000000000001,0.7105354859050339,0.6185360979265551
9,9,100.0,1.0,1.0,100.0,0.6863672182821119,0.7644620046769961,0.6615384615384615,0.7780919211243923,0.814018691588785
